source_id,parameter,value,unit,condition,confidence,conversion_note,extraction_note
S17,crew_costs_eur_h,51.3,EUR/deployment-hour,any,high,Same build-up; +10% equipment/uniform; 70% roster efficiency,Tab. 7-2 Zugbetreuer SPV — raw 35.90 EUR/h
S17,crew_per_train,1 driver + 1 Zugchef + 1-3 Zugbetreuer,persons/train,any,high,,Tab. 7-7 p.93 — SPFV day trains; night trains need own assumption
S17,coach_amort_years,30,years,new,high,,Tab. 7-4 p.90 Nutzungsdauer der SPFV-Zuege — confirms S05 policy range and the 30y choice
S17,coach_avail_per,0.909,share,new,high,Derived: 10% Betriebs- und Werkstattreserve -> 1/1.1,Tab. 7-4 — official reserve assumption; brutto deployment 4380 h/yr (365d x 12h)
S17,redesign_cost_share,0.15,"share of initial investment, at year 15",new,high,,Tab. 7-4 — mid-life redesign; NOT covered by our straight-line purchase amortisation — documented in README
S17,real_interest_rate,0.017,1/year (real),any,high,,"Tab. 7-4 massgebender Realzinssatz — societal discount rate, NOT an operator WACC; recorded as lower bound context for financing_quota"
S17,coach_maint_eur_km,0.8,EUR/coach-km (derived),new,high,"Derived: HGV C multi-system (190m, 390 seats, 230 km/h) 5.96 EUR/train-km / ~7.5 vehicle units; rates include shunting/depot-run shares; price basis 2021","Tab. 7-5 p.91 — settles the S09 conflict: BVWP maintenance is per train-km, ~0.80 EUR/coach-km at night-train-like formations"
S06,financing_wacc,6.5,percent,,medium,full annuity over 32y,study model input
S06,amort_years,32,years,new,medium,,study model input
S06,driver_eur_h,62-104,EUR/h,15-country range,medium,productive-hour basis,reconciles with 90.33 deployment-h via roster efficiency
S06,crew_eur_h,Zf 45-70; Betr. 32-47,EUR/h,15-country range,medium,productive-hour basis,47/0.70 ≈ 67 ≈ attendant deployment rate
S06,coach_price_per_class,WL 3.8 / Bc 2.8 / B 2.0,MEUR,new,medium,144/106/76 kEUR/m,sourced class spread; basis if class factors reintroduced
