source_id,short_id,title,publisher,pub_year,price_basis_year,currency,kind,url_or_file,date_accessed,reliability_note
CZ-NS-2027,cz_ns27,Network Statement 2027,Sprava zeleznic,2026,2027,CZK,network_statement,Network Statement_2027_en_web.pdf,2026-07-27,ZI valid 1 Jan - 11 Dec 2027
DE-APS-2027,de_aps27,Anlagenpreissystem 2027 — Entgelte fuer Serviceeinrichtungen,DB InfraGO,2025,2027,EUR,facility_price_list,serviceeinrichtungen_aps_2027.pdf,2026-07-27,Valid from 13.12.2026. Also states StromStG 20.50 standard / 11.42 EUR/MWh rail
DE-BNETZA-BK10,de_bnetza,BK10-25-0067 Anlage 2 approved INB 2026,Bundesnetzagentur,2025,2026,EUR,regulator_decision,BK10-25-0067_Anlage2.pdf,2026-07-27,Approved text shows 3.33 EUR/train-km; the -17% SPFV re-approval is not evidenced here
DE-DBE-NETZ-2026,de_dbenergie,Preisblatt Nutzung des Bahnstromnetzes from 01.01.2026,DB Energie,2025,2026,EUR,facility_price_list,Preisblatt-Netznutzung-2026.pdf,2026-07-27,"Two-part tariff; statutory levies charged on top, not quantified in the sheet"
DE-INB-2026,de_inb26,INB 2026 Anlage 5.3,DB InfraGO,2025,2026,EUR,network_statement,INB-2026-Anlage-5-3.pdf,2026-07-27,Nacht segment covers the whole German run incl. foreign portions
DESNZ-T341,desnz_341,Table 3.4.1/3.4.2 fuels purchased by non-domestic consumers,DESNZ,2026,2025,GBP,official_statistics,table_341.xlsx,2026-07-27,"'Large' band matches Eurostat band IE; incl-CCL column is a survey average, not a rate"
DK-BEK-2024,dk_bek,Bekendtgoerelse om infrastrukturafgifter 2024/1351,Transportministeriet,2024,2025,DKK,regulation,via IRG TAC survey,2026-07-27,NS 2027 carries no numbers and refers to the executive order
DK-NS-2027,dk_ns27,Network Statement 2027,Banedanmark,2026,2027,DKK,network_statement,Network statement 2027.pdf,2026-07-27,States no charges are levied for operations or parking on sidings
ECB-FX,ecb_fx,Euro foreign exchange reference rates,European Central Bank,2026,2026,EUR,official_statistics,https://www.ecb.europa.eu/stats/eurofxref/,2026-07-27,Indicative; refreshed at model runtime rather than frozen into the seed
EE-TTJA-2026,ee_ttja,Raudteeinfrastruktuuri kasutustasu maerad,TTJA,2025,2026,EUR,regulator_decision,TTJA rates page,2026-07-27,International passenger mark-up is zero
ES-ADIF-2027,es_adif27,Declaracion sobre la Red 2027,Adif,2026,2027,EUR,network_statement,NS ADIF_V1_BOOK_2027.pdf,2026-07-27,Chapter 6 carries the shunting hourly rates
ES-BOE-2024,es_boe,BOE-A-2024-22140 Reglamento de canones (consolidated),Gobierno de Espana,2024,2023,EUR,regulation,BOE-A-2024-22140.pdf,2026-07-27,Modes A and B by line type; Mode C is traction electricity and excluded
EUROSTAT-NRG-PC-205-C,eurostat_nrg,Electricity price components for non-household consumers,Eurostat,2026,2025,EUR,official_statistics,nrg_pc_205_c custom extract,2026-07-27,"Band IE (20,000-69,999 MWh/a) is the rail-relevant band; validated against the HU and SE IM tariffs"
FI-NS-2027,fi_ns27,Network Statement 2027,Vaeylaevirasto,2025,2027,EUR,network_statement,vj_2026-38eng.pdf,2026-07-27,Basic component plus a separate electric-supply-equipment charge
FR-DRR-2024-A52,fr_a52_24,DRR 2024 Annexe 5.2 v12,SNCF Reseau,2024,2024,EUR,tariff_annex,drr2024m-annexe-5_2.pdf,2026-07-27,Only edition carrying a published RCTE-A value (0.02912 EUR/kWh)
FR-DRR-2024-A54,fr_a54_24,DRR 2024 Annexe 5.4 v11,SNCF Reseau,2024,2024,EUR,tariff_annex,drr2024m-annexe-5_4.pdf,2026-07-27,RCTE-B 0.02003 and RFE 0.18653 EUR/kWh at crisis-era purchase prices
FR-DRR-2027-A52,fr_a52,DRR 2027 Annexe 5.2 bareme prestations minimales,SNCF Reseau,2025,2027,EUR,tariff_annex,appendix-52-2027.PDF,2026-07-27,Night trains show '-' in the RM column: marginal-cost pricing only
FR-DRR-A512,fr_a512,DRR 2027 Annexe 5.1.2 tarification traction electrique,SNCF Reseau,2025,2027,EUR,tariff_annex,drr2027-annexe-5-1-2.pdf,2026-07-27,Publishes the RCTE-A loss formula and the 2024-2026 loss-rate series
GR-OSE-2026,gr_ose26,Network Statement 2026,OSE,2025,2019,EUR,network_statement,OSE_2026-ENG_Final.pdf,2026-07-27,2019 base prices x 1.1975 inflation x 0.60 recovery share
HR-NS-2027,hr_ns27,Network Statement 2027,HZ Infrastruktura,2026,2027,EUR,network_statement,E2027_I_NS.pdf,2026-07-27,Excise for business use printed as 0.000000; first 24 h on side tracks free
HU-NS-2627,hu_ns,Network Statement 2026-2027 Annex 5.2-6,VPE / MAV,2025,2027,HUF,network_statement,Annex 5.2-6.pdf,2026-07-27,"~2.4x the IRG 2025 level, consistent with the protested increases"
IE-NS-2027,ie_ns27,Network Statement 2027,Iarnrod Eireann,2026,2027,EUR,network_statement,IE NS 2027.pdf,2026-07-27,Single network-wide variable usage charge; fixed charge is franchise-only
IRG-TAC-2025,irg_tac25,TAC survey 2025 per-country sheets,IRG-Rail,2025,2025,EUR,regulator_statistics,260616_TAC-survey_2025-updated.xlsx,2026-07-27,Cross-check baseline for every network statement extraction
IT-LISTINO,it_listino,Listino Tariffario PMdA 2025-2029,RFI,2024,2027,EUR,tariff_annex,Listino Tariffario PMdA.pdf,2026-07-27,"Component A by speed class, Component B by segment/network/time band"
IT-NS-2027,it_ns27,Network Statement 2027 June 2026 edition,RFI,2026,2027,EUR,network_statement,Network Statement 2027.pdf,2026-07-27,5.4.1 gives the traction energy formula; the price is republished monthly on ePIR
LT-LTG-2627,lt_ltg,Tariff decision SPR-PAJ(INFRA)-138/2025 + NS 2026-2027,LTG Infra,2025,2027,EUR,network_statement,26-27 NS and annexes.pdf,2026-07-27,Transit passenger tariff applies to third countries only
LU-NS-2027,lu_ns27,Network Statement 2027 v1.0,ACF / CFL,2026,2026,EUR,network_statement,en-ns-2027-v10.pdf,2026-07-27,Scarcity charge exists but no line is currently declared saturated
LV-NS-2027,lv_ns27,Network Statement 2027,LDz / LatRailNet,2026,2026,EUR,network_statement,LV NS 2027.pdf,2026-07-27,Segment: international passenger services within the EEA
NL-NS-2027,nl_ns27,Network Statement 2027 v1.1,ProRail,2026,2027,EUR,network_statement,NS 2027 v1.1.pdf,2026-07-27,Weight-class train path tariff; IRG confirms all mark-ups are zero
NO-NS-2027,no_ns27,Network Statement 2027,Bane NOR,2026,2026,NOK,network_statement,network-statement-2027-en-1.1.pdf,2026-07-27,Mark-ups apply to PSO/airport/ore only; stabling free for the first 48 h
NOX-MODEL,nox_model,Night train operator P&L projection model,TO_VERIFY,2025,2030,EUR,operator_model,nox_model.xlsx,2026-07-27,Isolates OPS Infrastructure Access at 307.55 EUR/trip — the operator-side analogue to facility charges
PL-PLK-A91,pl_plk,NS 2026/2027 Annex 9.1 (Resolution 1048/2025),PKP PLK,2026,2027,PLN,network_statement,Zal_9.1_Reg26_27_v3_ANG.pdf,2026-07-27,Effective 13 Dec 2026; shunting by standardised distance from Appendix 2.8
PT-IP-2027,pt_ip27,Network Statement 2027 1st Addenda,Infraestruturas de Portugal,2026,2027,EUR,network_statement,1st Addenda NS 2027.pdf,2026-07-27,Timetabled technical stops exempt from the parking tariff
RAMBOLL-BMDV,ramboll,Oekologische Effekte von Nachtzugverkehren,Ramboll for BMDV,2025,2025,EUR,study,Nachtzugstudie BMDV.pdf,2026-07-27,Cost structure of a Nightjet-type half-train; driver rates 62-104 EUR/h across 15 countries
RMMS-9,rmms9,9th RMMS report data and figures,European Commission,2024,2022,EUR,official_statistics,9th_RMMS_package.xlsx,2026-07-27,Fig.5/69 network length and utilisation; Fig.116 long-distance punctuality
RO-CFR-A25,ro_cfr,NS Annexes 25.a / 25.b / 26.a,CFR SA,2024,2024,RON,network_statement,Annex 25.a.pdf,2026-07-27,Annex 26.a carries worked examples that reproduce the formula exactly
SE-NS-2027,se_ns27,Network Statement 2027 Annex 1B,Trafikverket,2025,2027,SEK,network_statement,ns-2027-2026-05-22.pdf pp.212ff,2026-07-27,Oeresund passage charge applies to freight only
SI-NS-2027,si_ns27,Network Statement 2027,SZ-Infrastruktura,2026,2027,EUR,network_statement,NS_2027_0.pdf,2026-07-27,P23 storage charge covers unplanned RU-attributable storage only
SK-ZSR-A52B,sk_zsr,NS 2027 Annex 5.2.B — Measure 2/2018,ZSR / Transport Authority,2018,2019,EUR,network_statement,annex-5-2-b.pdf,2026-07-27,Unchanged since 1 Jan 2019; U1+U2+U3+U4 reproduce the IRG composite exactly
SKAT-DK-VAT,skat_vat,Services exempt from VAT,Skattestyrelsen,2024,2024,DKK,tax_authority,https://skat.dk/en-us/businesses/vat/services-exempt-from-vat,2026-07-27,"Passenger transport is VAT-exempt, so Danish operators cannot deduct input VAT"
UK-NR-CP7,uk_cp7,CP7 Track Usage Price List,Network Rail,2023,2024,GBP,tariff_annex,CP7-Track-Usage-Price-Lists.xlsm,2026-07-27,Pence per vehicle-mile at 2023/24 prices; EAUC excluded as electrification
